品牌,門市名稱,座標,地址,營業時間
星巴克,星巴克六家門市," 24.807996, 121.040517 ",新竹縣竹北市高鐵七路6號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:00
星巴克,星巴克宜蘭門市," 24.758004, 121.756721 ",宜蘭縣宜蘭市舊城東路56號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~20:30
星巴克,星巴克竹北華邦電門市," 24.807073, 121.037485 ",新竹縣竹北市文興路二段539號,星期一、星期二、星期三、星期四、星期五 07:30~18:00
星巴克,星巴克竹北嘉豐南門市," 24.810331, 121.033491 ",新竹縣竹北市嘉豐南路一段100號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00
星巴克,星巴克宜蘭宜興門市," 24.752337, 121.756380 ",宜蘭縣宜蘭市宜興路一段159號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~20:30
星巴克,星巴克台元二門市," 24.840912, 121.019666 ",新竹縣竹北市台元一街2號,星期一、星期二、星期三、星期四、星期五 07:30~17:30
星巴克,星巴克竹北光明門市," 24.819654, 121.027742 ",新竹縣竹北市光明六路東一段316號 喜來登對面 ,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00
星巴克,星巴克湖口休息站門市 北向 ," 24.861154, 121.012075 ",新竹縣湖口鄉榮光路158號 - 國道一號湖口北上服務區  無法通過南下服務區到店 ,星期一、星期二、星期三、星期四、星期五、星期六、星期日 08:00~21:00
星巴克,星巴克台元門市," 24.842722, 121.01636 ",新竹縣竹北市台元科技園區台元街34號,星期一、星期二、星期三、星期四、星期五 07:30~20:00
星巴克,星巴克竹北遠百門市," 24.821914, 121.022828 ",新竹縣竹北市莊敬北路18號7F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 11:00~22:00
星巴克,星巴克竹北文興門市," 24.810882, 121.027488 ",新竹縣竹北市文興路一段186號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00
星巴克,星巴克竹北自強門市," 24.815295, 121.024331 ",新竹縣竹北市自強南路182號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:00
星巴克,星巴克基隆新豐門市," 25.1382825, 121.7848951 ",基隆市中正區新豐街162巷309號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~18:00
星巴克,星巴克新竹北門市," 24.830972, 121.0127 ",新竹縣竹北市光明一路372號 文化局對面 ,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克新竹新豐門市," 24.869795, 120.996803 ",新竹縣新豐鄉新興路202號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00
星巴克,星巴克宜蘭頭城門市," 24.861677, 121.828181 ",宜蘭縣頭城鎮青雲路3段396號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~18:00
星巴克,星巴克新竹日光門市," 24.785303, 121.018757 ",新竹市東區關新路38號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克新竹關埔門市," 24.790832, 121.013136 ",新竹市東區埔頂二路71 號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克介壽門市," 24.778604, 121.019361 ",新竹市東區介壽路47號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:00
星巴克,星巴克新竹達門市," 24.7738401, 121.019329 ",新竹市東區力行二路1號,星期一、星期二、星期三、星期四、星期五 07:00~19:00
星巴克,星巴克聯發科門市," 24.7721962, 121.0195487 ",新竹市東區篤行一路1號,星期一、星期二、星期三、星期四、星期五 07:30~20:00
星巴克,星巴克聯電門市," 24.770910, 121.019348 ",新竹市東區力行二路3號,星期一、星期二、星期三、星期四、星期五 07:30~19:00
星巴克,星巴克台積電門市," 24.773545, 121.012577 ",新竹市東區新竹科學園區力行六路8號4樓,星期一、星期二、星期三、星期四、星期五 07:30~19:00
星巴克,星巴克台積電12P7門市," 24.769700, 121.014150 ",新竹市東區園區二路188號,星期一、星期二、星期三、星期四、星期五 07:30~19:00
星巴克,星巴克台積電P4門市," 24.771216, 121.013023 ",新竹市東區科學園區園區二路168號,星期一、星期二、星期三、星期四、星期五 07:30~19:00
星巴克,星巴克友達GRC門市," 24.776972, 121.008276 ",新竹市東區工業東三路1號,星期一、星期二、星期三、星期四、星期五 07:30~16:30
星巴克,星巴克光復清大門市," 24.797196, 120.996634 ",新竹市東區光復路二段406號,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 06:30~20:30
星巴克,星巴克台積電RD門市," 24.765583, 121.009387 ",新竹縣寶山鄉科環路168號,星期一、星期二、星期三、星期四、星期五 07:30~19:00
星巴克,星巴克瑞昱門市," 24.780559, 120.998075 ",新竹市東區園區二路九號1F,星期一、星期二、星期三、星期四、星期五 07:30~19:00
星巴克,星巴克新竹大潤發門市," 24.806316, 120.984937 ",新竹市東區忠孝路300號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 08:00~21:00
星巴克,星巴克新竹台醫門市," 24.816341, 120.979786 ",新竹市北區經國路一段442巷25號,星期一、星期二、星期三、星期四、星期五 07:00~15:00
星巴克,星巴克台積電5門市," 24.774029, 120.998317 ",新竹縣寶山鄉園區三路121號,星期一、星期二、星期三、星期四、星期五 07:30~19:00
星巴克,星巴克研新門市," 24.778583, 120.991683 ",新竹市東區科學園區研新二路6號,星期一、星期二、星期三、星期四、星期五 07:30~19:00
星巴克,星巴克新竹動物園門市," 24.800406, 120.979501 ",新竹市東區博愛街111號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~20:30
星巴克,星巴克新竹巨城門市," 24.809356, 120.975076 ",新竹市東區中央路229號 1樓,星期一、星期二、星期三、星期四、星期日 09:00~21:30，星期五、星期六 09:00~22:00
星巴克,星巴克園區門市," 24.774325, 120.991494 ",新竹市北區新竹科學工業園區研新一路9號1樓,星期一、星期二、星期三、星期四、星期五 07:30~19:00
星巴克,星巴克新竹大魯閣門市," 24.819399, 120.969781 ",新竹市北區湳雅街 91 之2 號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克羅東門市," 24.678791, 121.768564 ",宜蘭縣羅東鎮興東路97號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克新竹州圖門市," 24.805215, 120.971232 ",新竹市東區文化街8號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克新竹北大門市," 24.810208, 120.969088 ",新竹市東區北大路109 號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克西大門市," 24.801428, 120.964676 ",新竹市東區西大路323號1樓,星期一、星期二、星期三、星期四、星期日 08:30~21:30，星期五、星期六 08:30~22:00
星巴克,星巴克新竹竹光門市," 24.811182, 120.956424 ",新竹市北區西大路687號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克福隆觀海門市," 25.019240, 121.945150 ",新北市貢寮區福隆街41號,星期一、星期二、星期三、星期四、星期五 09:30~18:00，星期六、星期日 08:00~19:00
星巴克,星巴克頭份尚順門市," 24.688144, 120.904153 ",苗栗縣頭份鎮中央路105號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 09:00~21:30
星巴克,星巴克頭份中央門市," 24.693360, 120.900250 ",苗栗縣頭份鎮中央路372號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00
星巴克,星巴克竹南門市," 24.686760, 120.869583 ",苗栗縣竹南鎮環市路二段112號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克苗栗高鐵門市," 24.605641, 120.82537 ",苗栗縣後龍鎮高鐵三路268號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克苗栗國華門市," 24.563519, 120.813538 ",苗栗縣苗栗市國華路1128號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00
星巴克,星巴克西湖休息站門市," 24.566064, 120.761192 ",苗栗縣西湖鄉湖東村8鄰埔頂29號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00
星巴克,星巴克花蓮和平門市," 24.301446, 121.75142 ",花蓮縣秀林鄉和平263號,星期一、星期二、星期三、星期四、星期五、星期日 08:30~18:30，星期六 08:30~20:00
星巴克,星巴克泰安北門市 北向 ," 24.328891, 120.716592 ",台中市后里區九甲七路400號 北上泰安服務區 ,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六、星期日 07:00~22:00
星巴克,星巴克泰安南門市 南向 ," 24.330464, 120.711329 ",台中市后里區安眉路113號 南下泰安服務區 ,星期一、星期二、星期三、星期四、星期日 07:30~21:00，星期五、星期六 07:00~21:00
星巴克,星巴克美光門市," 24.316127, 120.725602 ",台中市后里區后科南路88號 2樓餐廳 ,星期一、星期二、星期三、星期四、星期五 07:30~17:30
星巴克,星巴克麗寶鐘樓門市," 24.325189, 120.701558 ",台中市后里區月眉東路2段181號,星期一、星期二、星期三、星期四 11:00~21:30，星期五 11:00~22:00，星期六 10:30~22:00，星期日 10:30~21:30
星巴克,星巴克台中麗寶門市," 24.324293, 120.699299 ",台中市后里區福容路201號,星期一、星期二、星期三、星期四 11:00~21:30，星期五 11:00~22:00，星期六 10:30~22:00，星期日 10:30~21:30
星巴克,星巴克豐原向陽門市," 24.252247, 120.725841 ",台中市豐原區向陽路182號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克清境門市," 24.043907, 121.156931 ",南投縣仁愛鄉定遠新村26-1號1樓,星期一、星期二、星期三、星期四 09:00~18:00，星期五、星期六、星期日 09:00~19:00
星巴克,星巴克豐原門市," 24.250665, 120.720648 ",台中市豐原區復興路2號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 09:00~22:00
星巴克,星巴克豐原家樂福門市," 24.252028, 120.706136 ",台中市豐原區成功路500號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00
星巴克,星巴克豐原大道門市," 24.237966, 120.703818 ",台中市豐原區豐原大道一段585號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克花蓮中央門市," 23.996522, 121.594569 ",花蓮縣花蓮市中央路四段11號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~21:00
星巴克,星巴克花蓮新站門市," 23.994124, 121.601638 ",花蓮縣花蓮市國聯一路100號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 08:00~21:00
星巴克,星巴克台中慈濟門市," 24.195771, 120.722019 ",台中市潭子區豐興路一段88號二樓,星期一、星期二、星期三、星期四、星期五 07:00~18:00，星期六 07:00~14:00
星巴克,星巴克潭子門市," 24.211600, 120.700628 ",台中市潭子區勝利路188號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克花蓮遠百門市," 23.978625, 121.598621 ",花蓮縣花蓮市和平路581號,星期一、星期二、星期三、星期四、星期五 08:30~21:30，星期六、星期日 08:00~21:30
星巴克,星巴克花蓮門市," 23.978018, 121.60845 ",花蓮縣花蓮市中山路231號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~22:00
星巴克,星巴克清水站3F," 24.281251, 120.601381 ",台中市清水區吳厝二街89號3樓,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 07:00~21:00
星巴克,星巴克軍功東山門市," 24.174252, 120.71914 ",台中市北屯區軍功路一段720號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克大雅門市," 24.225054, 120.645371 ",台中市大雅區中清路三段1205號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克崇德昌平門市," 24.188335, 120.686426 ",台中市北屯區崇德路三段398號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:30
星巴克,星巴克松竹洲際門市," 24.199544, 120.670637 ",台中市北屯區松竹路三段1133號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~20:00
星巴克,星巴克松竹門市," 24.182514, 120.690649 ",台中市北屯區松竹路二段350號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~20:30
星巴克,星巴克松竹安順門市," 24.182473, 120.680327 ",台中市北屯區松竹路三段128號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克文心昌平門市," 24.171583, 120.691676 ",台中市北屯區文心路四段817號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克太平門市," 24.149506, 120.713232 ",台中市太平區中山路四段21號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00
星巴克,星巴克中清門市," 24.186368, 120.663443 ",台中市北屯區中清路二段769號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:00
星巴克,星巴克清水門市," 24.268364, 120.566425 ",台中市清水區中華路313號,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 07:00~21:00
星巴克,星巴克洄瀾門市," 23.938631, 121.594620 ",花蓮縣吉安鄉南濱路一段505號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 08:30~20:30
星巴克,星巴克崇德北興門市," 24.164001, 120.684878 ",台中市北區崇德路一段481號1-2樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克台積電15門市," 24.214775, 120.614997 ",台中市大雅區科雅六路1號,星期一、星期二、星期三、星期四、星期五 07:30~19:00
星巴克,星巴克中清太原門市," 24.165315, 120.674081 ",台中市北區中清路一段510號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00
星巴克,星巴克太平中興門市," 24.130603, 120.721150 ",台中市太平區中興東路136號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克中醫門市," 24.156638, 120.681047 ",台中市北區育德路2號,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六、星期日 07:30~19:00
星巴克,星巴克中醫二門市," 24.154058, 120.682808 ",台中市北區學士路2號1樓  位於中國醫藥大學附設醫院五權院區急重症大樓一樓 ,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六、星期日 07:30~19:00
星巴克,星巴克中友門市," 24.151964, 120.684866 ",台中市北區三民路三段161號1樓C棟,星期一、星期二、星期三、星期四、星期日 09:00~21:30，星期五、星期六 09:00~22:00
星巴克,星巴克中友二門市," 24.151684, 120.684697 ",台中市北區三民路三段161號C棟2樓,星期一、星期二、星期三、星期四、星期五 11:00~21:30，星期六、星期日 11:00~22:00
星巴克,星巴克逢甲大學門市," 24.180980, 120.646428 ",台中市西屯區文華路100號,星期一、星期二、星期三、星期四、星期五 08:30~17:30，星期六、星期日 09:00~16:30
星巴克,星巴克台積電15B門市," 24.211828, 120.608549 ",台中市西屯區新科路1號,星期一、星期二、星期三、星期四、星期五 07:30~19:00
星巴克,星巴克文心甘肅門市," 24.169602, 120.656018 ",台中市西屯區文心路三段135號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克日曜門市," 24.142893, 120.685695 ",台中市中區自由路二段94號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 11:00~22:00
星巴克,星巴克黎明福科門市," 24.178827, 120.637328 ",台中市西屯區黎明路三段289號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克台中金典門市," 24.1559729, 120.66317 ",台中市西區健行路1049號B1,星期一、星期二、星期三、星期四、星期五 11:00~22:00，星期六、星期日 10:30~22:00
星巴克,星巴克台中LALA門市," 24.134816, 120.691463 ",台中市東區進德路600號,星期一、星期二、星期三、星期四、星期五 11:00~22:00，星期六、星期日 10:30~22:00
星巴克,星巴克中港門市," 24.154302, 120.664402 ",台中市西區台灣大道二段363號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00
星巴克,星巴克河南青海門市," 24.170448, 120.643468 ",台中市西屯區河南路二段431號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克台中新時代門市," 24.1362895, 120.687691 ",台中市東區復興路四段186號1-1號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00
星巴克,星巴克中正繼光門市," 24.139520, 120.683079 ",台中市中區台灣大道一段138號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克廣三SOGO門市," 24.155388, 120.661833 ",台中市西區台灣大道二段459號2樓,星期一、星期二、星期三、星期四、星期五 11:00~22:00，星期六、星期日 10:30~22:00
星巴克,星巴克沙鹿北勢門市," 24.230860, 120.573258 ",台中市沙鹿區台灣大道七段373號 提供電動車快充服務 ,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克園道門市," 24.151148, 120.663589 ",台中市西區公益路68號1樓,星期一、星期二、星期三、星期四、星期日 07:00~22:00，星期五、星期六 07:00~22:30
星巴克,星巴克台中遠百門市," 24.164863, 120.644717 ",台中市西屯區台灣大道三段251號11樓,星期一、星期二、星期三、星期四、星期五 11:00~22:00，星期六、星期日 10:30~22:00
星巴克,星巴克米平方門市," 24.192132, 120.611642 ",台中市西屯區國安一路168號,星期一、星期二、星期三、星期四、星期五 07:00~21:30，星期六、星期日 07:30~21:30
星巴克,星巴克三越一店門市," 24.165336, 120.643712 ",台中市西屯區台灣大道三段301號3樓,星期一、星期二、星期三、星期四、星期五 11:00~22:00，星期六、星期日 10:30~22:00
星巴克,星巴克台中三越11門市," 24.165211, 120.6437 ",台中市西屯區台灣大道三段301號11樓,星期一、星期二、星期三、星期四、星期五 11:00~22:00，星期六、星期日 10:30~22:00
星巴克,星巴克超億門市," 24.150897, 120.660605 ",台中市西區公益路128號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克朝富門市," 24.166152, 120.637408 ",台中市西屯區朝富路83號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克福康門市," 24.182996, 120.616525 ",台中市西屯區福康路1.3號1樓,星期一、星期二、星期三、星期四、星期五 07:00~21:30，星期六、星期日 07:30~21:30
星巴克,星巴克美村向上門市," 24.146612, 120.661752 ",台中市西區美村路一段319號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00
星巴克,星巴克沙鹿門市," 24.234698, 120.558681 ",台中市沙鹿區沙田路103號,星期一、星期二、星期三、星期四、星期五 06:30~22:00，星期六、星期日 07:00~21:30
星巴克,星巴克童綜合門市," 24.247137, 120.542648 ",台中市梧棲區台灣大道八段699號,星期一、星期二、星期三、星期四、星期五 07:00~20:00，星期六 07:30~15:30
星巴克,星巴克誠品480門市," 24.160101, 120.638505 ",台中市西屯區市政路480號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 11:00~22:00
星巴克,星巴克大英門市," 24.150719, 120.648523 ",台中市南屯區公益路二段131號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:00
星巴克,星巴克市政門市," 24.160653, 120.634808 ",台中市西屯區市政路581號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克中榮門市," 24.183247, 120.603874 ",台中市西屯區台灣大道四段1650號1樓,星期一、星期二、星期三、星期四、星期五 07:00~19:00，星期六、星期日 07:00~16:00
星巴克,星巴克五權門市," 24.139923, 120.655243 ",台中市西區五權西路一段277號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克國資圖門市," 24.127137, 120.670445 ",台中市南區五權南路100號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克MITSUI台中門市," 24.259622, 120.517384 ",台中市梧棲區台灣大道十段168號,星期一、星期二、星期三、星期四、星期五 11:00~21:30，星期六、星期日 10:30~21:30
星巴克,星巴克埔里門市," 23.968297, 120.958892 ",南投縣埔里鎮中山路三段245號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克向心門市," 24.142511, 120.646564 ",台中市南屯區文心路一段197號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克五權惠中門市," 24.141772, 120.640083 ",台中市南屯區五權西路二段658號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克台中龍井門市," 24.214931, 120.551868 ",台中市龍井區沙田路六段339號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克大里門市," 24.109456, 120.679469 ",台中市大里區國光路二段411-1號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00
星巴克,星巴克文心秀泰門市," 24.129638, 120.646201 ",台中市南屯區文心南路289號1F,星期一、星期二、星期三、星期四、星期五 11:00~22:00，星期六、星期日 10:30~22:00
星巴克,星巴克永春東門市," 24.137537, 120.632849 ",台中市南屯區永春東路1340號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:00
星巴克,星巴克中山醫門市," 24.121399, 120.650930 ",台中市南區建國北路一段110號,星期一、星期二、星期三、星期四、星期五 07:00~20:00，星期六、星期日 07:00~17:00
星巴克,星巴克文心大慶門市," 24.120239, 120.651058 ",台中市南區文心南路542號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克大里中興門市," 24.089165, 120.694471 ",台中市大里區中興路一段173之25號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00
星巴克,星巴克花蓮理想門市," 23.868239, 121.533520 ",花蓮縣壽豐鄉豐坪路三段289號,星期一、星期二、星期三、星期四 09:00~19:00，星期五、星期六、星期日 08:00~19:00
星巴克,星巴克烏日中山門市," 24.105608, 120.632178 ",台中市烏日區中山路一段688號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克烏日門市," 24.11171, 120.615859 ",台中市烏日區站區二路8號2樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:00~22:00
星巴克,星巴克台中大肚門市," 24.139545, 120.550331 ",台中市大肚區沙田路二段178號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克彰化金馬門市," 24.095980, 120.546729 ",彰化縣彰化市金馬路二段85號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克草屯門市," 23.983705, 120.685659 ",南投縣草屯鎮中正路857之1號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克日月潭門市," 23.865338, 120.912247 ",南投縣魚池鄉中山路101號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~20:00
星巴克,星巴克彰基二," 24.071947, 120.544578 ",彰化縣彰化市南校街135號 門診大樓1樓大廳掛號區 ,星期一、星期二、星期三、星期四、星期五 07:00~20:30，星期六、星期日 07:30~16:00
星巴克,星巴克彰基門市," 24.071193, 120.545427 ",彰化縣彰化市旭光路235號,星期一、星期二、星期三、星期四、星期五 07:00~20:30，星期六、星期日 07:00~17:30
星巴克,星巴克和美門市," 24.107981, 120.495535 ",彰化縣和美鎮彰化縣和美鎮道周路445號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克彰化曉陽門市," 24.074125, 120.532941 ",彰化縣彰化市曉陽路358號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克彰化中山門市," 24.067781, 120.539803 ",彰化縣彰化市中山路二段76號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克彰化花壇," 24.022981, 120.542182 ",彰化縣花壇鄉中山路一段349號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:00
星巴克,星巴克南投華陽門市," 23.917100, 120.684363 ",南投縣南投市華陽路199號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~20:30
星巴克,星巴克南投休息站門市," 23.899923, 120.711336 ",南投縣南投市振興里南鄉路250巷142弄6號,星期一、星期二、星期三、星期四 07:00~22:00，星期五 07:00~22:30，星期六、星期日 06:30~22:30
星巴克,星巴克南投家樂福門市," 23.905957, 120.689373 ",南投縣南投市三和三路21號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 10:00~22:00
星巴克,星巴克員林門市," 23.970646, 120.571607 ",彰化縣員林鎮中山路二段458號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克鹿港門市," 24.061539, 120.436851 ",彰化縣鹿港鎮中正路512號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克彰化埔心門市," 23.949378, 120.565047 ",彰化縣埔心鄉中山路453號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克員林大潤發門市," 23.947382, 120.563518 ",彰化縣埔心鄉中山路319號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 09:30~22:00
星巴克,星巴克彰化社頭門市," 23.900973, 120.582727 ",彰化縣社頭鄉中山路一段765號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克彰化溪湖門市," 23.962262, 120.481695 ",彰化縣溪湖鎮東環路515號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克彰化高鐵門市," 23.874240, 120.574530 ",彰化縣田中鎮站區路二段99號2樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00
星巴克,星巴克彰化北斗門市," 23.873037, 120.516499 ",彰化縣北斗鎮中山路一段375號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00
星巴克,星巴克西螺門市 南向 ," 23.788857, 120.477568 ",雲林縣西螺鎮振興里1號  國道一號西螺南向服務區 ,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:00
星巴克,星巴克斗六中正門市," 23.699250, 120.544963 ",雲林縣斗六市大學路二段308號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00
星巴克,星巴克斗六門市," 23.703304, 120.531389 ",雲林縣斗六市雲林路二段190號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30
星巴克,星巴克雲林高鐵門市," 23.736053, 120.417195 ",雲林縣虎尾鎮站前東路301號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00
星巴克,星巴克虎尾門市," 23.709193, 120.433693 ",雲林縣虎尾鎮林森路一段491號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克雲林斗南門市," 23.682774, 120.473456 ",雲林縣斗南鎮建國一路340號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30
星巴克,星巴克古坑休息站門市," 23.608597, 120.544585 ",雲林縣古坑鄉新興100號,星期一、星期二、星期三、星期四、星期五 08:00~20:00，星期六、星期日 08:00~21:00
星巴克,星巴克雲林麥寮門市," 23.746651, 120.255825 ",雲林縣麥寮鄉光復路3號,星期一、星期二、星期三、星期五、星期六、星期日 07:30~21:00，星期四 07:07~21:00
星巴克,星巴克嘉義民雄門市," 23.559265, 120.433852 ",嘉義縣民雄鄉建國路一段235號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00
星巴克,星巴克嘉義忠孝門市," 23.516037, 120.442042 ",嘉義市東區忠孝路790之5號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~20:30
星巴克,星巴克嘉基門市," 23.499525, 120.450041 ",嘉義市東區忠孝路539號,星期一、星期二、星期三、星期四、星期五 07:00~18:30，星期六 07:00~14:00
