品牌,門市名稱,座標,地址,營業時間
85度C,85度C基隆暖暖店,"25.1006061,121.7359059",基隆市暖暖區東勢街2-2號,早上07:00~晚上21:30
85度C,85度C嘉義朴子店,"23.4611076,120.2425714",嘉義縣朴子市大同路169號,07:00~22:00
85度C,85度C台中東勢店,"24.2534162,120.8297925",台中市東勢區豐勢路334號,07:00~22:00
85度C,85度C嘉義民族店,"23.476465362510123, 120.45638833357108",嘉義市東區民族路189號1樓,06:00~23:00
85度C,85度C嘉義中山店,"23.481887552586674, 120.45753865589884",嘉義市東區中山路111號,07:00~22:00
85度C,85度C台南中華東店,"22.9756451,120.224964",台南市東區中華東路三段229號,06:30~23:00
85度C,85度C新竹食品店,"24.7962557,120.9753093",新竹市東區東南街197號,06:30~22:30
85度C,85度C新竹光復店,"24.7845896,121.0137518",新竹市東區光復路一段523-1號,07:00~22:00
85度C,85度C嘉義新生店,"23.4954376,120.454947",嘉義市東區新生路721號,07:00~22:30
85度C,85度C新竹南大店,"24.7910868,120.9646186",新竹市東區南大路545號,07:00~21:00
85度C,85度C台中樂業店,"24.1365001,120.706404",台中市東區樂業路450號,周一~四06:30-23:00週五~六24小時週日00:00-23:30
85度C,85度C新竹迎曦店,"24.8041045,120.9692728",新竹市東區東門街105號,07:00~22:00
85度C,85度C台北光復北店,"25.0573953,121.5557078",台北市松山區光復北路167號,07:30~24:00
85度C,85度C板橋大仁店,"25.0170035,121.4557349",新北市板橋區大仁街16號,07:00~22:00
85度C,85度C板橋四維店,"25.0251301,121.4653687",新北市板橋區四維路126號,07:00~22:00
85度C,85度C板橋重慶店,"25.0021535,121.4625927",新北市板橋區重慶路218號,07:00~23:00
85度C,85度C板橋大同店,"25.026775161086157, 121.47665815920035",新北市板橋區雙十路二段10號1樓,07:00~23:00
85度C,85度C板橋中山店,"25.014700657687865, 121.47186964689435",新北市板橋區中山路一段266號1樓,07:30~22:00
85度C,85度C板橋南雅店,"25.00727099,121.45635001",新北市板橋區新興路2號,07:00~23:00
85度C,85度C板橋國光店,"25.0185484,121.4611578",新北市板橋區國光路189號,07:00~00:00
85度C,85度C板橋莒光店,"25.0240845,121.4711344",新北市板橋區莒光路64號,07:00~23:00
85度C,85度C樹林金門店,"24.9878703,121.4309549",新北市板橋區溪北路172號,07:00~22:00
85度C,85度C屏東枋寮店,"22.3669852,120.5932864",屏東縣枋寮鄉中興路22號,07:00~22:00
85度C,85度C林口竹林店,"25.0775719,121.3867655",新北市林口區竹林路35號,07:30~22:00
85度C,85度C台南柳營店,"23.279047983452063, 120.32497000822039",台南市柳營區中山西路1段1號,週一~週六：早上07:00~晚上22:00；週日：早上08:00~晚上22:00
85度C,85度C桃園永安北店,"25.01806953470197, 121.2928095474783",桃園市桃園區永安北路468號,07:00~22:30
85度C,85度C桃園力行店,"25.0029328,121.3043933",桃園市桃園區力行路34號,07:00~22:30
85度C,85度C桃園春日店,"24.99836,121.3152147",桃園市桃園區春日路236號,07:00~21:30
85度C,85度C桃園英業達店,"24.9785837,121.3266915",桃園市桃園區大智路88號,08:00~18:00
85度C,85度C桃園北興店,"24.9983418,121.3088822",桃園市桃園區中正路346號,24小時
85度C,85度C桃園中山 縣府 店,"24.9921603,121.3033624",桃園市桃園區中山路404號,07:00~22:00
85度C,85度C桃園大業店,"25.007479556399925, 121.31605062176158",桃園市桃園區大業路一段156號1F,早上07:00~晚上22:00週五 早上07:00~晚上23:00 
85度C,85度C桃園龍安店,"24.9908862,121.2798306",桃園市桃園區龍安街142號,早上06:00~晚上23:00
85度C,85度C桃園國際店,"24.9892215,121.2890366",桃園市桃園區國際路一段1200號,06:30~22:00
85度C,85度C桃園陽明店,"24.983105,121.30855",桃園市桃園區介壽路210號,07:00~21:30
